ProviderName,Chelsea Under 3 Mbps,Chelsea Over 3 Mbps,Percent Under 3,Percent Over 3
186 Communications,1.0,,,
CELLCO,9.0,4.0,0.6923076923076923,0.3076923076923077
Comcast,376.0,1569.0,0.19331619537275063,0.8066838046272493
DSCI,2.0,2.0,0.5,0.5
Major League Baseball Advanced Media,1.0,8.0,0.1111111111111111,0.8888888888888888
Nitel,6.0,5.0,0.5454545454545454,0.45454545454545453
North Atlantic Networks,1.0,2.0,0.3333333333333333,0.6666666666666666
OPAQ Networks,1.0,9.0,0.1,0.9
T-Mobile USA,139.0,71.0,0.6619047619047619,0.3380952380952381
Verizon,74.0,27.0,0.7326732673267327,0.26732673267326734
American Student Assistance,,1.0,,
Broadview Networks,,1.0,,
Comcast - New England,,5.0,,
"Deltacom, Inc.",,1.0,,
Expedient,,1.0,,
Lightower Fiber Networks,,2.0,,
TelePacific Communications,,2.0,,
