,Under 25 Mbps,Over 25 Mbps,Percent Under 25,Percent Over 25,Municipality
American Student Assistance,1.0,,,,Chelsea
Broadview Networks,1.0,,,,Chelsea
CELLCO,10.0,5.0,0.6666666666666666,0.3333333333333333,Chelsea
Comcast,1015.0,1061.0,0.4889210019267823,0.5110789980732178,Chelsea
DSCI,3.0,,,,Chelsea
"Deltacom, Inc.",1.0,,,,Chelsea
Lightower Fiber Networks,3.0,,,,Chelsea
Major League Baseball Advanced Media,1.0,9.0,0.1,0.9,Chelsea
Nitel,1.0,8.0,0.1111111111111111,0.8888888888888888,Chelsea
North Atlantic Networks,3.0,,,,Chelsea
OPAQ Networks,4.0,6.0,0.4,0.6,Chelsea
T-Mobile USA,230.0,29.0,0.888030888030888,0.11196911196911197,Chelsea
Verizon,70.0,22.0,0.7608695652173914,0.2391304347826087,Chelsea
186 Communications,,1.0,,,Chelsea
Comcast - New England,,6.0,,,Chelsea
TelePacific Communications,,2.0,,,Chelsea
"Bigleaf Networks, Inc.",1.0,13.0,0.07142857142857142,0.9285714285714286,Revere
Broadview Networks,2.0,1.0,0.6666666666666666,0.3333333333333333,Revere
CELLCO,48.0,14.0,0.7741935483870968,0.22580645161290322,Revere
"Cogent Communications, Inc.",3.0,4.0,0.42857142857142855,0.5714285714285714,Revere
Comcast,2609.0,2677.0,0.49356791524782445,0.5064320847521756,Revere
DSCI,3.0,,,,Revere
Lightower Fiber Networks,3.0,10.0,0.23076923076923078,0.7692307692307693,Revere
Lumen AS 3356,14.0,1.0,0.9333333333333333,0.06666666666666667,Revere
Lumen AS209,1.0,4.0,0.2,0.8,Revere
North Atlantic Networks,2.0,,,,Revere
RCN,26.0,80.0,0.24528301886792453,0.7547169811320755,Revere
T-Mobile USA,1457.0,618.0,0.7021686746987952,0.2978313253012048,Revere
TelePacific Communications,3.0,,,,Revere
Verizon,270.0,8.0,0.9712230215827338,0.02877697841726619,Revere
Windstream Communications,4.0,1.0,0.8,0.2,Revere
XO Communications,43.0,35.0,0.5512820512820513,0.44871794871794873,Revere
AT&T US - 7018,,6.0,,,Revere
Massachusetts Institute of Technology,,2.0,,,Revere
USAI.NET,,1.0,,,Revere
CELLCO,44.0,7.0,0.8627450980392157,0.13725490196078433,Everett
Comcast,1602.0,2279.0,0.4127802112857511,0.587219788714249,Everett
Consolidated Communications - NNE,3.0,1.0,0.75,0.25,Everett
Lightower Fiber Networks,19.0,20.0,0.48717948717948717,0.5128205128205128,Everett
Lumen AS 3356,6.0,3.0,0.6666666666666666,0.3333333333333333,Everett
Lumen AS 3549,14.0,2.0,0.875,0.125,Everett
RCN,288.0,698.0,0.2920892494929006,0.7079107505070994,Everett
Sprint,17.0,2.0,0.8947368421052632,0.10526315789473684,Everett
T-Mobile USA,175.0,60.0,0.7446808510638298,0.2553191489361702,Everett
Verizon,67.0,5.0,0.9305555555555556,0.06944444444444445,Everett
Windstream Communications,4.0,,,,Everett
XO Communications,4.0,5.0,0.4444444444444444,0.5555555555555556,Everett
Tierpoint 33251,,1.0,,,Everett
